id,display_name,concept_class,source,latest_source_version
ST0V,Change of temperament of psychic Rūḥ pattern (TM2),Diagnosis,ICD-11-MMS,2025-01
ST0U,Infection of moistures pattern (TM2),Diagnosis,ICD-11-MMS,2025-01
ST0T,Thinning of moistures pattern (TM2),Diagnosis,ICD-11-MMS,2025-01
ST0S,Presence of foreign moisture pattern (TM2),Diagnosis,ICD-11-MMS,2025-01
ST0R,Thickening of moisture pattern (TM2),Diagnosis,ICD-11-MMS,2025-01
ST0Q,Unstable abnormal temperament pattern (TM2),Diagnosis,ICD-11-MMS,2025-01
ST0P,Stable abnormal temperament pattern (TM2),Diagnosis,ICD-11-MMS,2025-01
ST0N,Abnormal cold and dry temperament associated with substance pattern (TM2),Diagnosis,ICD-11-MMS,2025-01
ST0M,Abnormal cold and moist temperament associated with substance pattern (TM2),Diagnosis,ICD-11-MMS,2025-01
ST0L,Abnormal hot and dry temperament associated with substance pattern (TM2),Diagnosis,ICD-11-MMS,2025-01
ST0K,Abnormal hot and moist temperament associated with substance pattern (TM2),Diagnosis,ICD-11-MMS,2025-01
ST0J,Compound abnormal temperament associated with substance pattern (TM2),Diagnosis,ICD-11-MMS,2025-01
ST0H,Simple cold and dry abnormal temperament pattern (TM2),Diagnosis,ICD-11-MMS,2025-01
ST0G,Simple cold and moist abnormal temperament pattern (TM2),Diagnosis,ICD-11-MMS,2025-01
ST0F,Simple hot and dry abnormal temperament pattern (TM2),Diagnosis,ICD-11-MMS,2025-01
ST0E,Simple hot and moist abnormal temperament pattern (TM2),Diagnosis,ICD-11-MMS,2025-01
ST0D,Simple compound abnormal temperament pattern (TM2),Diagnosis,ICD-11-MMS,2025-01
ST0C,Compound morbid temperament pattern (TM2),Diagnosis,ICD-11-MMS,2025-01
ST0B,Abnormal dry temperament with substance pattern (TM2),Diagnosis,ICD-11-MMS,2025-01
ST0A,Abnormal moist temperament with substance pattern (TM2),Diagnosis,ICD-11-MMS,2025-01
ST09,Abnormal cold temperament with substance pattern (TM2),Diagnosis,ICD-11-MMS,2025-01
ST08,Abnormal hot temperament with substance pattern (TM2),Diagnosis,ICD-11-MMS,2025-01
ST07,Abnormal temperament associated with substance pattern (TM2),Diagnosis,ICD-11-MMS,2025-01
ST06,Abnormal dry temperament pattern (TM2),Diagnosis,ICD-11-MMS,2025-01
ST05,Abnormal moist temperament pattern (TM2),Diagnosis,ICD-11-MMS,2025-01
ST04,Abnormal cold temperament pattern (TM2),Diagnosis,ICD-11-MMS,2025-01
ST03,Abnormal hot temperament pattern (TM2),Diagnosis,ICD-11-MMS,2025-01
ST02,Simple abnormal temperament without substance pattern (TM2),Diagnosis,ICD-11-MMS,2025-01
ST01,Simple morbid temperament pattern (TM2),Diagnosis,ICD-11-MMS,2025-01
ST00,Abnormal temperament pattern (TM2),Diagnosis,ICD-11-MMS,2025-01
SS8Z,"Age dependent patterns (TM2), unspecified",Diagnosis,ICD-11-MMS,2025-01
SS8Y,Other specified age dependent patterns (TM2),Diagnosis,ICD-11-MMS,2025-01
SS89,Cold predominant temperament with greater degree of dryness age pattern (TM2),Diagnosis,ICD-11-MMS,2025-01
SS88,Cold and dry predominant temperament age pattern (TM2),Diagnosis,ICD-11-MMS,2025-01
SS87,Hot predominant temperament with lesser degree of moistness age pattern (TM2),Diagnosis,ICD-11-MMS,2025-01
SS86,Hot and moist predominant temperament age pattern (TM2),Diagnosis,ICD-11-MMS,2025-01
SS85,Old age pattern (TM2),Diagnosis,ICD-11-MMS,2025-01
SS84,Adult age pattern (TM2),Diagnosis,ICD-11-MMS,2025-01
SS83,Childhood age pattern (TM2),Diagnosis,ICD-11-MMS,2025-01
SS82,Vata predominant age pattern (TM2),Diagnosis,ICD-11-MMS,2025-01
SS81,Pitta predominant age pattern (TM2),Diagnosis,ICD-11-MMS,2025-01
SS80,Kapha predominant age pattern (TM2),Diagnosis,ICD-11-MMS,2025-01
SS7Z,"Temperament based patterns (TM2), unspecified",Diagnosis,ICD-11-MMS,2025-01
SS7Y,Other specified temperament based patterns (TM2),Diagnosis,ICD-11-MMS,2025-01
SS75,Sawdā’ predominant temperament pattern (TM2),Diagnosis,ICD-11-MMS,2025-01
SS74,Balgham predominant temperament pattern (TM2),Diagnosis,ICD-11-MMS,2025-01
SS73,Ṣafrā’ predominant temperament pattern (TM2),Diagnosis,ICD-11-MMS,2025-01
SS72,Dam predominant temperament pattern (TM2),Diagnosis,ICD-11-MMS,2025-01
SS71,Temperament according to age pattern (TM2),Diagnosis,ICD-11-MMS,2025-01
SS70,Human temperament pattern (TM2),Diagnosis,ICD-11-MMS,2025-01
SS6Z,"Personality patterns (TM2), unspecified",Diagnosis,ICD-11-MMS,2025-01
SS6Y,Other specified personality patterns (TM2),Diagnosis,ICD-11-MMS,2025-01
SS62,"Personality with a confused, negative mindset (TM2)",Diagnosis,ICD-11-MMS,2025-01
SS61,"Personality with an agitated, reactive mindset (TM2)",Diagnosis,ICD-11-MMS,2025-01
SS60,"Personality with a calm, composed mindset (TM2)",Diagnosis,ICD-11-MMS,2025-01
SS5Z,"Constitution patterns (TM2), unspecified",Diagnosis,ICD-11-MMS,2025-01
SS5Y,Other specified constitution patterns (TM2),Diagnosis,ICD-11-MMS,2025-01
SS5F,Aiya-predominant Vaḷi body constitution pattern (TM2),Diagnosis,ICD-11-MMS,2025-01
SS5E,Aiya-predominant Aẕal body constitution pattern (TM2),Diagnosis,ICD-11-MMS,2025-01
SS5D,Aẕal-predominant Aiyam body constitution pattern (TM2),Diagnosis,ICD-11-MMS,2025-01
SS5C,Aẕal-predominant Vaḷi body constitution pattern (TM2),Diagnosis,ICD-11-MMS,2025-01
SS5B,Vaḷi-predominant Aiyam body constitution pattern (TM2),Diagnosis,ICD-11-MMS,2025-01
SS5A,Vaḷi-predominant Aẕal body constitution pattern (TM2),Diagnosis,ICD-11-MMS,2025-01
SS59,Aiyam body constitution pattern (TM2),Diagnosis,ICD-11-MMS,2025-01
SS58,Aẕal body constitution pattern (TM2),Diagnosis,ICD-11-MMS,2025-01
SS57,Vaḷi body constitution pattern (TM2),Diagnosis,ICD-11-MMS,2025-01
SS56,Body constitution with a predominance of all three dosha pattern (TM2),Diagnosis,ICD-11-MMS,2025-01
SS55,Kapha-Vata constitution pattern (TM2),Diagnosis,ICD-11-MMS,2025-01
