source_file,pipeline_file,quality_status,classification,target_sql_table,mapping_status,load_eligible,loaded_rows,decision_reason
extracted_tables/010_Joint_UNICEF_Bangladesh_Government_of_Bangladesh_Nutrition_Programme_MidTerm_Evaluation_2017-2020/table_022.csv,quarantined_tables/010_Joint_UNICEF_Bangladesh_Government_of_Bangladesh_Nutrition_Programme_MidTerm_Evaluation_2017-2020/table_022.csv,review_required,unclassified,,blocked_quality_gate,no,0,table_requires_review_or_was_rejected
extracted_tables/021_Prevention_and_Management_of_Mental_Health_Conditions_in_Bangladesh/table_001.csv,quarantined_tables/021_Prevention_and_Management_of_Mental_Health_Conditions_in_Bangladesh/table_001.csv,review_required,unclassified,,blocked_quality_gate,no,0,table_requires_review_or_was_rejected
extracted_tables/021_Prevention_and_Management_of_Mental_Health_Conditions_in_Bangladesh/table_002.csv,quarantined_tables/021_Prevention_and_Management_of_Mental_Health_Conditions_in_Bangladesh/table_002.csv,rejected,unclassified,,blocked_quality_gate,no,0,table_requires_review_or_was_rejected
extracted_tables/021_Prevention_and_Management_of_Mental_Health_Conditions_in_Bangladesh/table_003.csv,quarantined_tables/021_Prevention_and_Management_of_Mental_Health_Conditions_in_Bangladesh/table_003.csv,review_required,unclassified,,blocked_quality_gate,no,0,table_requires_review_or_was_rejected
extracted_tables/021_Prevention_and_Management_of_Mental_Health_Conditions_in_Bangladesh/table_004.csv,quarantined_tables/021_Prevention_and_Management_of_Mental_Health_Conditions_in_Bangladesh/table_004.csv,rejected,unclassified,,blocked_quality_gate,no,0,table_requires_review_or_was_rejected
extracted_tables/021_Prevention_and_Management_of_Mental_Health_Conditions_in_Bangladesh/table_005.csv,quarantined_tables/021_Prevention_and_Management_of_Mental_Health_Conditions_in_Bangladesh/table_005.csv,rejected,unclassified,,blocked_quality_gate,no,0,table_requires_review_or_was_rejected
extracted_tables/021_Prevention_and_Management_of_Mental_Health_Conditions_in_Bangladesh/table_006.csv,quarantined_tables/021_Prevention_and_Management_of_Mental_Health_Conditions_in_Bangladesh/table_006.csv,rejected,unclassified,,blocked_quality_gate,no,0,table_requires_review_or_was_rejected
extracted_tables/021_Prevention_and_Management_of_Mental_Health_Conditions_in_Bangladesh/table_007.csv,quarantined_tables/021_Prevention_and_Management_of_Mental_Health_Conditions_in_Bangladesh/table_007.csv,rejected,unclassified,,blocked_quality_gate,no,0,table_requires_review_or_was_rejected
extracted_tables/021_Prevention_and_Management_of_Mental_Health_Conditions_in_Bangladesh/table_008.csv,quarantined_tables/021_Prevention_and_Management_of_Mental_Health_Conditions_in_Bangladesh/table_008.csv,rejected,unclassified,,blocked_quality_gate,no,0,table_requires_review_or_was_rejected
extracted_tables/021_Prevention_and_Management_of_Mental_Health_Conditions_in_Bangladesh/table_009.csv,quarantined_tables/021_Prevention_and_Management_of_Mental_Health_Conditions_in_Bangladesh/table_009.csv,rejected,unclassified,,blocked_quality_gate,no,0,table_requires_review_or_was_rejected
extracted_tables/021_Prevention_and_Management_of_Mental_Health_Conditions_in_Bangladesh/table_010.csv,quarantined_tables/021_Prevention_and_Management_of_Mental_Health_Conditions_in_Bangladesh/table_010.csv,rejected,unclassified,,blocked_quality_gate,no,0,table_requires_review_or_was_rejected
extracted_tables/021_Prevention_and_Management_of_Mental_Health_Conditions_in_Bangladesh/table_011.csv,quarantined_tables/021_Prevention_and_Management_of_Mental_Health_Conditions_in_Bangladesh/table_011.csv,rejected,unclassified,,blocked_quality_gate,no,0,table_requires_review_or_was_rejected
extracted_tables/021_Prevention_and_Management_of_Mental_Health_Conditions_in_Bangladesh/table_012.csv,quarantined_tables/021_Prevention_and_Management_of_Mental_Health_Conditions_in_Bangladesh/table_012.csv,rejected,unclassified,,blocked_quality_gate,no,0,table_requires_review_or_was_rejected
extracted_tables/021_Prevention_and_Management_of_Mental_Health_Conditions_in_Bangladesh/table_013.csv,quarantined_tables/021_Prevention_and_Management_of_Mental_Health_Conditions_in_Bangladesh/table_013.csv,rejected,unclassified,,blocked_quality_gate,no,0,table_requires_review_or_was_rejected
extracted_tables/021_Prevention_and_Management_of_Mental_Health_Conditions_in_Bangladesh/table_014.csv,quarantined_tables/021_Prevention_and_Management_of_Mental_Health_Conditions_in_Bangladesh/table_014.csv,rejected,unclassified,,blocked_quality_gate,no,0,table_requires_review_or_was_rejected
extracted_tables/021_Prevention_and_Management_of_Mental_Health_Conditions_in_Bangladesh/table_015.csv,quarantined_tables/021_Prevention_and_Management_of_Mental_Health_Conditions_in_Bangladesh/table_015.csv,rejected,unclassified,,blocked_quality_gate,no,0,table_requires_review_or_was_rejected
extracted_tables/021_Prevention_and_Management_of_Mental_Health_Conditions_in_Bangladesh/table_016.csv,quarantined_tables/021_Prevention_and_Management_of_Mental_Health_Conditions_in_Bangladesh/table_016.csv,rejected,unclassified,,blocked_quality_gate,no,0,table_requires_review_or_was_rejected
extracted_tables/021_Prevention_and_Management_of_Mental_Health_Conditions_in_Bangladesh/table_017.csv,quarantined_tables/021_Prevention_and_Management_of_Mental_Health_Conditions_in_Bangladesh/table_017.csv,rejected,unclassified,,blocked_quality_gate,no,0,table_requires_review_or_was_rejected
extracted_tables/021_Prevention_and_Management_of_Mental_Health_Conditions_in_Bangladesh/table_018.csv,quarantined_tables/021_Prevention_and_Management_of_Mental_Health_Conditions_in_Bangladesh/table_018.csv,rejected,unclassified,,blocked_quality_gate,no,0,table_requires_review_or_was_rejected
extracted_tables/021_Prevention_and_Management_of_Mental_Health_Conditions_in_Bangladesh/table_019.csv,quarantined_tables/021_Prevention_and_Management_of_Mental_Health_Conditions_in_Bangladesh/table_019.csv,rejected,unclassified,,blocked_quality_gate,no,0,table_requires_review_or_was_rejected
extracted_tables/022_UNFPA_Country_Programme_Document_for_Bangladesh_2022-2026/table_001.csv,quarantined_tables/022_UNFPA_Country_Programme_Document_for_Bangladesh_2022-2026/table_001.csv,review_required,unclassified,,blocked_quality_gate,no,0,table_requires_review_or_was_rejected
extracted_tables/022_UNFPA_Country_Programme_Document_for_Bangladesh_2022-2026/table_002.csv,quarantined_tables/022_UNFPA_Country_Programme_Document_for_Bangladesh_2022-2026/table_002.csv,review_required,unclassified,,blocked_quality_gate,no,0,table_requires_review_or_was_rejected
extracted_tables/022_UNFPA_Country_Programme_Document_for_Bangladesh_2022-2026/table_003.csv,quarantined_tables/022_UNFPA_Country_Programme_Document_for_Bangladesh_2022-2026/table_003.csv,review_required,unclassified,,blocked_quality_gate,no,0,table_requires_review_or_was_rejected
extracted_tables/022_UNFPA_Country_Programme_Document_for_Bangladesh_2022-2026/table_004.csv,quarantined_tables/022_UNFPA_Country_Programme_Document_for_Bangladesh_2022-2026/table_004.csv,review_required,unclassified,,blocked_quality_gate,no,0,table_requires_review_or_was_rejected
extracted_tables/023_UNFPA_Country_Programme_Document_for_Bangladesh_2017-2020/table_001.csv,quarantined_tables/023_UNFPA_Country_Programme_Document_for_Bangladesh_2017-2020/table_001.csv,review_required,unclassified,,blocked_quality_gate,no,0,table_requires_review_or_was_rejected
extracted_tables/023_UNFPA_Country_Programme_Document_for_Bangladesh_2017-2020/table_002.csv,quarantined_tables/023_UNFPA_Country_Programme_Document_for_Bangladesh_2017-2020/table_002.csv,review_required,unclassified,,blocked_quality_gate,no,0,table_requires_review_or_was_rejected
extracted_tables/023_UNFPA_Country_Programme_Document_for_Bangladesh_2017-2020/table_003.csv,quarantined_tables/023_UNFPA_Country_Programme_Document_for_Bangladesh_2017-2020/table_003.csv,review_required,unclassified,,blocked_quality_gate,no,0,table_requires_review_or_was_rejected
extracted_tables/025_UNFPA_Final_Country_Programme_Document_for_Bangladesh_2012-2016/table_001.csv,quarantined_tables/025_UNFPA_Final_Country_Programme_Document_for_Bangladesh_2012-2016/table_001.csv,review_required,unclassified,,blocked_quality_gate,no,0,table_requires_review_or_was_rejected
extracted_tables/025_UNFPA_Final_Country_Programme_Document_for_Bangladesh_2012-2016/table_002.csv,quarantined_tables/025_UNFPA_Final_Country_Programme_Document_for_Bangladesh_2012-2016/table_002.csv,review_required,unclassified,,blocked_quality_gate,no,0,table_requires_review_or_was_rejected
extracted_tables/025_UNFPA_Final_Country_Programme_Document_for_Bangladesh_2012-2016/table_003.csv,quarantined_tables/025_UNFPA_Final_Country_Programme_Document_for_Bangladesh_2012-2016/table_003.csv,review_required,unclassified,,blocked_quality_gate,no,0,table_requires_review_or_was_rejected
extracted_tables/027_Health_Bulletin_2023/table_0001.csv,quarantined_tables/027_Health_Bulletin_2023/table_0001.csv,rejected,unclassified,,blocked_quality_gate,no,0,table_requires_review_or_was_rejected
extracted_tables/027_Health_Bulletin_2023/table_0002.csv,quarantined_tables/027_Health_Bulletin_2023/table_0002.csv,review_required,unclassified,,blocked_quality_gate,no,0,table_requires_review_or_was_rejected
extracted_tables/027_Health_Bulletin_2023/table_0003.csv,quarantined_tables/027_Health_Bulletin_2023/table_0003.csv,review_required,unclassified,,blocked_quality_gate,no,0,table_requires_review_or_was_rejected
extracted_tables/027_Health_Bulletin_2023/table_0004.csv,quarantined_tables/027_Health_Bulletin_2023/table_0004.csv,review_required,unclassified,,blocked_quality_gate,no,0,table_requires_review_or_was_rejected
extracted_tables/027_Health_Bulletin_2023/table_0005.csv,quarantined_tables/027_Health_Bulletin_2023/table_0005.csv,review_required,unclassified,,blocked_quality_gate,no,0,table_requires_review_or_was_rejected
extracted_tables/027_Health_Bulletin_2023/table_0006.csv,quarantined_tables/027_Health_Bulletin_2023/table_0006.csv,review_required,unclassified,,blocked_quality_gate,no,0,table_requires_review_or_was_rejected
extracted_tables/027_Health_Bulletin_2023/table_0007.csv,quarantined_tables/027_Health_Bulletin_2023/table_0007.csv,review_required,unclassified,,blocked_quality_gate,no,0,table_requires_review_or_was_rejected
extracted_tables/027_Health_Bulletin_2023/table_0008.csv,quarantined_tables/027_Health_Bulletin_2023/table_0008.csv,rejected,unclassified,,blocked_quality_gate,no,0,table_requires_review_or_was_rejected
extracted_tables/027_Health_Bulletin_2023/table_0009.csv,quarantined_tables/027_Health_Bulletin_2023/table_0009.csv,review_required,unclassified,,blocked_quality_gate,no,0,table_requires_review_or_was_rejected
extracted_tables/027_Health_Bulletin_2023/table_0010.csv,quarantined_tables/027_Health_Bulletin_2023/table_0010.csv,review_required,unclassified,,blocked_quality_gate,no,0,table_requires_review_or_was_rejected
extracted_tables/027_Health_Bulletin_2023/table_0011.csv,quarantined_tables/027_Health_Bulletin_2023/table_0011.csv,review_required,unclassified,,blocked_quality_gate,no,0,table_requires_review_or_was_rejected
extracted_tables/027_Health_Bulletin_2023/table_0012.csv,quarantined_tables/027_Health_Bulletin_2023/table_0012.csv,review_required,unclassified,,blocked_quality_gate,no,0,table_requires_review_or_was_rejected
extracted_tables/027_Health_Bulletin_2023/table_0013.csv,quarantined_tables/027_Health_Bulletin_2023/table_0013.csv,review_required,unclassified,,blocked_quality_gate,no,0,table_requires_review_or_was_rejected
extracted_tables/027_Health_Bulletin_2023/table_0014.csv,quarantined_tables/027_Health_Bulletin_2023/table_0014.csv,review_required,unclassified,,blocked_quality_gate,no,0,table_requires_review_or_was_rejected
extracted_tables/027_Health_Bulletin_2023/table_0015.csv,quarantined_tables/027_Health_Bulletin_2023/table_0015.csv,review_required,unclassified,,blocked_quality_gate,no,0,table_requires_review_or_was_rejected
