source_file,cleaned_file,status,rows_before,rows_after,columns_before,columns_after,duplicate_rows_removed,error
extracted_tables/021_Preventation_and_Management_of_Mental_Health_Conditions_in_Bangladesh/table_005.csv,cleaned_tables/021_Preventation_and_Management_of_Mental_Health_Conditions_in_Bangladesh/table_005.csv,ok,9,0,7,0,9,
extracted_tables/021_Preventation_and_Management_of_Mental_Health_Conditions_in_Bangladesh/table_006.csv,cleaned_tables/021_Preventation_and_Management_of_Mental_Health_Conditions_in_Bangladesh/table_006.csv,ok,12,0,3,0,12,
extracted_tables/021_Preventation_and_Management_of_Mental_Health_Conditions_in_Bangladesh/table_007.csv,cleaned_tables/021_Preventation_and_Management_of_Mental_Health_Conditions_in_Bangladesh/table_007.csv,ok,5,1,2,1,4,
extracted_tables/021_Preventation_and_Management_of_Mental_Health_Conditions_in_Bangladesh/table_008.csv,cleaned_tables/021_Preventation_and_Management_of_Mental_Health_Conditions_in_Bangladesh/table_008.csv,ok,5,0,10,0,5,
extracted_tables/021_Preventation_and_Management_of_Mental_Health_Conditions_in_Bangladesh/table_009.csv,cleaned_tables/021_Preventation_and_Management_of_Mental_Health_Conditions_in_Bangladesh/table_009.csv,ok,5,0,5,0,5,
extracted_tables/021_Preventation_and_Management_of_Mental_Health_Conditions_in_Bangladesh/table_010.csv,cleaned_tables/021_Preventation_and_Management_of_Mental_Health_Conditions_in_Bangladesh/table_010.csv,ok,13,0,6,0,13,
extracted_tables/021_Preventation_and_Management_of_Mental_Health_Conditions_in_Bangladesh/table_011.csv,cleaned_tables/021_Preventation_and_Management_of_Mental_Health_Conditions_in_Bangladesh/table_011.csv,ok,5,1,2,1,4,
extracted_tables/021_Preventation_and_Management_of_Mental_Health_Conditions_in_Bangladesh/table_012.csv,cleaned_tables/021_Preventation_and_Management_of_Mental_Health_Conditions_in_Bangladesh/table_012.csv,ok,5,1,2,1,4,
extracted_tables/021_Preventation_and_Management_of_Mental_Health_Conditions_in_Bangladesh/table_013.csv,cleaned_tables/021_Preventation_and_Management_of_Mental_Health_Conditions_in_Bangladesh/table_013.csv,ok,5,1,2,1,4,
extracted_tables/021_Preventation_and_Management_of_Mental_Health_Conditions_in_Bangladesh/table_014.csv,cleaned_tables/021_Preventation_and_Management_of_Mental_Health_Conditions_in_Bangladesh/table_014.csv,ok,5,1,2,1,4,
extracted_tables/021_Preventation_and_Management_of_Mental_Health_Conditions_in_Bangladesh/table_015.csv,cleaned_tables/021_Preventation_and_Management_of_Mental_Health_Conditions_in_Bangladesh/table_015.csv,ok,9,0,9,0,9,
extracted_tables/021_Preventation_and_Management_of_Mental_Health_Conditions_in_Bangladesh/table_016.csv,cleaned_tables/021_Preventation_and_Management_of_Mental_Health_Conditions_in_Bangladesh/table_016.csv,ok,8,0,6,0,8,
extracted_tables/021_Preventation_and_Management_of_Mental_Health_Conditions_in_Bangladesh/table_017.csv,cleaned_tables/021_Preventation_and_Management_of_Mental_Health_Conditions_in_Bangladesh/table_017.csv,ok,10,0,4,0,10,
extracted_tables/021_Preventation_and_Management_of_Mental_Health_Conditions_in_Bangladesh/table_018.csv,cleaned_tables/021_Preventation_and_Management_of_Mental_Health_Conditions_in_Bangladesh/table_018.csv,ok,5,1,2,1,4,
extracted_tables/021_Preventation_and_Management_of_Mental_Health_Conditions_in_Bangladesh/table_019.csv,cleaned_tables/021_Preventation_and_Management_of_Mental_Health_Conditions_in_Bangladesh/table_019.csv,ok,17,0,4,0,17,
extracted_tables/022_United_Nations_Populations_fund/table_001.csv,cleaned_tables/022_United_Nations_Populations_fund/table_001.csv,ok,7,6,5,5,1,
extracted_tables/022_United_Nations_Populations_fund/table_002.csv,cleaned_tables/022_United_Nations_Populations_fund/table_002.csv,ok,29,28,8,7,1,
extracted_tables/022_United_Nations_Populations_fund/table_003.csv,cleaned_tables/022_United_Nations_Populations_fund/table_003.csv,ok,12,10,8,7,2,
extracted_tables/022_United_Nations_Populations_fund/table_004.csv,cleaned_tables/022_United_Nations_Populations_fund/table_004.csv,ok,12,11,8,7,1,
extracted_tables/023_nan/table_001.csv,cleaned_tables/023_nan/table_001.csv,ok,7,6,5,5,1,
extracted_tables/023_nan/table_002.csv,cleaned_tables/023_nan/table_002.csv,ok,10,10,10,8,0,
extracted_tables/023_nan/table_003.csv,cleaned_tables/023_nan/table_003.csv,ok,8,8,7,6,0,
extracted_tables/025_nan/table_001.csv,cleaned_tables/025_nan/table_001.csv,ok,6,5,4,4,1,
extracted_tables/025_nan/table_002.csv,cleaned_tables/025_nan/table_002.csv,ok,5,5,7,6,0,
extracted_tables/025_nan/table_003.csv,cleaned_tables/025_nan/table_003.csv,ok,9,9,7,6,0,
