file,category,rows,cols
extracted_tables/042_Health_Bulletin_2008/table_081.csv,other,9,21
extracted_tables/042_Health_Bulletin_2008/table_071.csv,other,6,2
extracted_tables/042_Health_Bulletin_2008/table_130.csv,population,14,12
extracted_tables/042_Health_Bulletin_2008/table_074.csv,other,9,7
extracted_tables/042_Health_Bulletin_2008/table_004.csv,human_resource,16,9
extracted_tables/042_Health_Bulletin_2008/table_034.csv,other,10,3
extracted_tables/042_Health_Bulletin_2008/table_107.csv,population,23,6
extracted_tables/027_Health_Bulletin_2023/table_0168.csv,health_stat,12,8
extracted_tables/027_Health_Bulletin_2023/table_0071.csv,health_stat,5,2
extracted_tables/027_Health_Bulletin_2023/table_0040.csv,other,3,3
extracted_tables/027_Health_Bulletin_2023/table_0036.csv,other,3,4
extracted_tables/027_Health_Bulletin_2023/table_0134.csv,population,6,3
extracted_tables/027_Health_Bulletin_2023/table_0131.csv,surgery,3,3
extracted_tables/027_Health_Bulletin_2023/table_0125.csv,health_stat,16,3
extracted_tables/027_Health_Bulletin_2023/table_0034.csv,other,6,6
extracted_tables/027_Health_Bulletin_2023/table_0079.csv,other,11,9
extracted_tables/027_Health_Bulletin_2023/table_0180.csv,surgery,14,5
extracted_tables/027_Health_Bulletin_2023/table_0171.csv,health_stat,7,6
extracted_tables/027_Health_Bulletin_2023/table_0064.csv,health_stat,10,2
extracted_tables/027_Health_Bulletin_2023/table_0129.csv,population,29,3
extracted_tables/027_Health_Bulletin_2023/table_0020.csv,other,4,2
extracted_tables/027_Health_Bulletin_2023/table_0101.csv,health_stat,14,2
extracted_tables/027_Health_Bulletin_2023/table_0186.csv,other,6,5
extracted_tables/027_Health_Bulletin_2023/table_0099.csv,other,11,9
extracted_tables/027_Health_Bulletin_2023/table_0070.csv,cancer,4,4
extracted_tables/027_Health_Bulletin_2023/table_0109.csv,other,10,3
extracted_tables/027_Health_Bulletin_2023/table_0156.csv,other,18,4
extracted_tables/027_Health_Bulletin_2023/table_0089.csv,population,5,4
extracted_tables/027_Health_Bulletin_2023/table_0080.csv,population,15,3
extracted_tables/027_Health_Bulletin_2023/table_0049.csv,other,20,2
extracted_tables/027_Health_Bulletin_2023/table_0023.csv,population,12,2
extracted_tables/027_Health_Bulletin_2023/table_0160.csv,other,4,21
extracted_tables/027_Health_Bulletin_2023/table_0011.csv,other,29,5
extracted_tables/027_Health_Bulletin_2023/table_0184.csv,other,10,5
extracted_tables/027_Health_Bulletin_2023/table_0014.csv,other,12,5
extracted_tables/027_Health_Bulletin_2023/table_0102.csv,cancer,6,6
extracted_tables/027_Health_Bulletin_2023/table_0006.csv,population,27,5
extracted_tables/027_Health_Bulletin_2023/table_0083.csv,other,5,5
extracted_tables/027_Health_Bulletin_2023/table_0127.csv,health_stat,23,3
extracted_tables/027_Health_Bulletin_2023/table_0016.csv,population,5,5
extracted_tables/027_Health_Bulletin_2023/table_0051.csv,other,8,5
extracted_tables/027_Health_Bulletin_2023/table_0072.csv,population,9,2
extracted_tables/027_Health_Bulletin_2023/table_0135.csv,health_stat,5,4
extracted_tables/027_Health_Bulletin_2023/table_0013.csv,population,10,5
extracted_tables/027_Health_Bulletin_2023/table_0108.csv,health_stat,5,5
